target_id,cuda_success,curobo_success,cuda_pos_err_mm,curobo_pos_err_mm,cuda_rot_err_deg,curobo_rot_err_deg,cuda_near_limit,curobo_near_limit,winner_quality,failure_type
787,1,1,1.90209978806,9.349362868156104e-05,0.166791175478,3.818191820832846e-06,0,0,cuRobo,both_success
788,1,1,1.35952079546,0.00017031330549079676,0.0721340813089,1.7118108379478333e-05,0,0,cuRobo,both_success
789,1,0,4.96647776111,10.9001678849233,0.115321907657,2.661312867675648,0,0,CUDA,cuda_success_curobo_fail
790,1,1,1.25050872645,1.6183047895450624e-05,0.0930741449168,6.273929367455621e-06,0,0,cuRobo,both_success
791,1,1,0.180575364414,6.842922717533553e-05,0.029056086308,1.1326587362040649e-05,0,0,cuRobo,both_success
792,1,1,0.029038295532,9.20356097954758e-05,0.0713550380198,8.009106731400786e-06,0,0,cuRobo,both_success
793,1,0,2.3978883636,222.45794055165612,0.38181498321,24.337295838410395,0,0,CUDA,cuda_success_curobo_fail
794,1,1,0.0739763926265,9.649552049669586e-05,0.09690968551,6.273929367455621e-06,0,0,cuRobo,both_success
795,1,1,0.272174126379,7.87117748296279e-05,0.000971984864679,1.225395709315776e-05,0,0,cuRobo,both_success
796,1,1,0.104394793406,4.534610791492407e-05,0.0300473931292,1.4388049231413678e-05,0,0,cuRobo,both_success
797,1,1,1.32087085918,0.00020683831351860164,0.0249238629522,4.3601008898878594e-05,0,0,cuRobo,both_success
798,1,1,0.601974612581,0.0001922897360652293,0.00710325061149,3.1945284701301985e-06,0,0,cuRobo,both_success
799,1,1,0.0338266118026,0.0001660002350291185,0.00314776415999,3.676187127947384e-05,0,0,cuRobo,both_success
800,1,1,0.0474932008899,0.00010766726852474362,0.0102131704797,8.365239156607499e-06,0,0,cuRobo,both_success
801,1,1,0.692814354424,0.00014705913104943192,0.0527806961029,9.115808030550376e-06,0,0,cuRobo,both_success
802,1,1,0.0106360912014,0.00023589423327001032,0.250579666823,2.3350358035739973e-05,0,0,cuRobo,both_success
803,1,0,0.115437088553,61.94477030767469,0.181506771569,4.060232660407743,0,0,CUDA,cuda_success_curobo_fail
804,1,1,0.283733804966,0.5088072417848202,0.0113390026591,0.0676156826878055,0,0,CUDA,both_success
805,0,0,36.0536964057,108.49096262437058,0.0171859510481,10.26231124120551,0,0,CUDA,both_fail
806,1,1,0.803587237264,0.00010289927577998311,0.0274659628877,1.2431131930566654e-05,0,0,cuRobo,both_success
807,0,1,121.545060442,3.390302943166748e-05,0.488129807044,9.583585410390605e-06,0,0,cuRobo,curobo_success_cuda_fail
808,1,1,0.126256307441,0.00020655477079881327,0.0157980587708,4.00455336570039e-06,0,0,cuRobo,both_success
809,1,1,0.0509372385686,0.00010899776016403931,0.16505041428,1.2891699348793929e-05,0,0,cuRobo,both_success
810,1,1,0.29363642709,0.00011001316983957654,0.012790735873,1.3115919625095442e-05,0,0,cuRobo,both_success
811,1,1,0.0223920033793,6.374940665550784e-05,0.00487560839804,1.0663629423853027e-05,0,0,cuRobo,both_success
812,1,0,0.1702453633,75.7571853539868,0.121167374562,18.32406759300392,0,1,CUDA,cuda_success_curobo_fail
813,1,1,0.0209781915474,7.129569737149063e-05,0.0690999104566,7.824964720612765e-06,0,0,cuRobo,both_success
814,1,1,0.117021131858,0.00010977828061390115,0.0127433913919,1.0731768324341125e-05,0,0,cuRobo,both_success
815,1,1,0.222300461163,0.00012510381139934726,0.00281813005873,1.0029569411827041e-05,0,0,cuRobo,both_success
816,1,0,0.199409871308,211.66745180981098,0.249527796474,18.618354880341467,0,0,CUDA,cuda_success_curobo_fail
817,1,0,0.117016081589,114.31623490788112,0.0461508904721,12.779257572551922,0,0,CUDA,cuda_success_curobo_fail
818,1,1,0.119227335379,6.896379146517187e-05,0.00288677096967,2.3004407680670755e-05,0,0,cuRobo,both_success
819,1,1,0.220088506444,0.00024145499660883517,0.0820438275653,7.040397847728103e-06,0,0,cuRobo,both_success
820,1,1,0.268913725822,0.0001364229804347526,0.0205884400954,2.5355783664240607e-05,0,0,cuRobo,both_success
821,1,1,0.146060602154,3.2982444478921026e-05,0.0849017815896,7.143182815269534e-06,0,0,cuRobo,both_success
822,1,1,0.115735769941,0.00015122673143918162,5.69999838507e-06,7.540324677666867e-06,0,0,cuRobo,both_success
823,1,1,0.854509448337,6.536445795680062e-05,0.0090463457789,1.4589290462454086e-05,0,0,cuRobo,both_success
824,1,1,0.0994757742859,4.386343745193994e-05,0.00236967299566,1.1830234667768806e-05,0,0,cuRobo,both_success
825,1,1,0.395905406236,0.00021193434589564613,0.0167095000736,1.3872179782028085e-05,0,0,cuRobo,both_success
